"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1","NP_X"
"1","cfa",1,0,0,0.8,0,0,0,0,0.2,0,0
"2","yeaQ",0,1,0,0,0,0,0,0,0,0,0
"3","ompC",1,0,0,0.166666666666667,0,0.166666666666667,0.25,0,0.416666666666667,0,0
"4","slp",1,0,0,0.476190476190476,0,0.19047619047619,0.0476190476190476,0,0.238095238095238,0.0476190476190476,0
"5","hdeB",1,0,0.0555555555555556,0.444444444444445,0,0.166666666666667,0.0555555555555556,0,0.277777777777778,0,0
"6","hdeD",1,0,0,0.5,0,0.2,0,0,0.25,0.05,0
"7","osmY",1,0,0.15,0.05,0,0.1,0.3,0,0.4,0,0
"8","cbpA",1,0,0.25,0.25,0,0,0,0,0.5,0,0
"9","hdeA",1,0,0.0555555555555556,0.444444444444445,0,0.166666666666667,0.0555555555555556,0,0.277777777777778,0,0
"10","yahO",0,1,0,0,0,0,0,0,0,0,0
"11","yccJ",1,0,0,1,0,0,0,0,0,0,0
"12","asr",1,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0,0
"13","ydiZ",0,1,0,0,0,0,0,0,0,0,0
"14","yebV",0,1,0,0,0,0,0,0,0,0,0
"15","yhiM",1,0,0,0.2,0,0.4,0.2,0,0.2,0,0
"16","wrbA",1,0,0,1,0,0,0,0,0,0,0
"17","ycaC",1,0,0,0,0,0,1,0,0,0,0
"18","gadB",1,0,0.0606060606060606,0.393939393939394,0,0.272727272727273,0.0606060606060606,0,0.212121212121212,0,0
"19","gadA",1,0,0.0344827586206897,0.413793103448276,0.0344827586206897,0.275862068965517,0.0344827586206897,0.0344827586206897,0.172413793103448,0,0
"20","yiaG",0,1,0,0,0,0,0,0,0,0,0
"21","dps",1,0,0.0714285714285714,0.428571428571428,0,0,0,0.142857142857143,0.357142857142857,0,0
"22","ybaT",1,0,0,1,0,0,0,0,0,0,0
